Ishares Asia 50 ETF,AIA,20180409,67.23,67.6,66.86,66.95,83800
Senmiao Technology Limited,AIHS,20180409,5.94,6,5.75,5.95,81300
Altra Indtl Mtn,AIMC,20180409,45.15,45.6,44.6,44.6,78300
Aimmune Therap,AIMT,20180409,29.53,30.7,29.53,30.23,672400
Apollo Investment Co,AINV,20180409,5.37,5.45,5.34,5.41,824500
Precision Therapeutics Inc.,AIPT,20180409,0.92,0.95,0.87,0.89,259700
Airgain Inc,AIRG,20180409,7.91,8.22,7.91,7.99,17500
Rba American Industrial Renaissance ETF FT,AIRR,20180409,25.71,25.71,25.49,25.49,23700
Akamai Technologies,AKAM,20180409,69.86,71.61,69.79,70.46,1121900
Achaogen Inc,AKAO,20180409,12.45,12.47,11.5,11.54,1637900
Akebia Therapeutics,AKBA,20180409,9.63,9.77,9.395,9.47,405900
Akcea Therapeutics Inc,AKCA,20180409,21.82,22.45,21.11,21.76,192500
Akers Biosciences,AKER,20180409,0.6,0.605,0.533,0.549,9743000
Akorn Inc,AKRX,20180409,18.51,18.54,17.56,18.05,1202400
Akoustis Technologies Inc,AKTS,20180409,5.42,5.42,5.16,5.23,116200
Akari Therapeutics,AKTX,20180409,1.98,2,1.9,1.9,74200
Albireo Pharma Inc,ALBO,20180409,32.08,32.08,30.31,30.8,47700
Alico Inc,ALCO,20180409,29.5,29.85,29.5,29.75,8500
Alder Biopharma,ALDR,20180409,12.7,12.85,12.55,12.65,683400
Aldeyra Therapeu,ALDX,20180409,7,7.15,6.85,6.95,36700
Align Technology I,ALGN,20180409,248.37,255.26,247.62,249.06,578800
Allegiant Travel Com,ALGT,20180409,173.1,173.7,168,168.15,104100
Alimera Sciences Inc,ALIM,20180409,1.06,1.06,1.02,1.03,59400
Alj Regional Hold,ALJJ,20180409,2.13,2.14,2.11,2.13,6400
Alkermes Plc,ALKS,20180409,42.57,43.3,42.19,42.43,1098100
Allot Communications,ALLT,20180409,5.15,5.31,5.15,5.17,25200
Allena Pharmaceuticals Inc,ALNA,20180409,12.87,14.2,12.27,12.5,201600
Alnylam Pharmaceut,ALNY,20180409,96.16,99.15,96.16,97.33,1094300
Analogic Cp,ALOG,20180409,95.65,96.4,94.9,94.95,93300
Astronova Inc,ALOT,20180409,16.1,16.15,15.55,16.1,17700
Alpine Immune Sciences Inc,ALPN,20180409,8.05,8.14,7.66,7.71,9800
Alliqua Biomedical,ALQA,20180409,2.12,2.15,2,2.09,33900
Alarm.Com,ALRM,20180409,38.83,39.035,37.93,37.97,290900
Aileron Therapeutics Inc,ALRN,20180409,6.48,8.43,6.34,7.18,171000
Alaska Commun Sys,ALSK,20180409,1.75,1.75,1.65,1.66,67700
Altimmune Inc,ALT,20180409,0.92,0.96,0.85,0.88,372900
Altair Engineering Inc Class A,ALTR,20180409,30.45,30.69,29.94,30.27,74100
G-X Super Dividend Alternatives ETF,ALTY,20180409,14.29,14.497,14.29,14.495,6400
Alexion Pharm Inc,ALXN,20180409,109.93,112.08,108.76,110.63,2116100
Amag Pharmaceuticals,AMAG,20180409,20.8,21.5,20.3,21.1,594000
Applied Materials,AMAT,20180409,52.98,54.98,52.8,53.02,11143400
Ambarella Inc,AMBA,20180409,44.68,45.57,44.21,44.41,940500
Ambac Financial Grp,AMBC,20180409,16.21,16.43,16.03,16.08,377600
Ambac Financial Grp,AMBCW,20180409,7.25,7.43,7.16,7.3,4900
Ishares Russell 1000 Pure U.S. Revenue ETF,AMCA,20180409,26.04,26.04,25.88,25.92,2700
Airmedia Group Inc,AMCN,20180409,0.79,0.8,0.74,0.765,166200
Amc Networks Cl A,AMCX,20180409,51.91,51.91,51.29,51.47,512800
Adv Micro Devices,AMD,20180409,9.75,9.84,9.52,9.53,38382600
Amedica Corp,AMDA,20180409,1.4,1.41,1.37,1.39,28200
Amedisys Inc,AMED,20180409,64.77,65.15,63.6,63.61,158400
Apollo Medical Holdings Inc,AMEH,20180409,15.27,15.31,14.8,14.8,18300
Amgen,AMGN,20180409,169.2,172.95,167.99,169.62,3856800
Amkor Technology,AMKR,20180409,9.65,9.89,9.48,9.49,714500
Alliance Mma Inc,AMMA,20180409,0.489,0.489,0.455,0.47,74900
American Natl Bksh,AMNB,20180409,38.4,39.27,37.755,38.15,4500
Allied Motion Tech,AMOT,20180409,38.13,40.53,38.13,38.78,45500
Amphastar Pharma,AMPH,20180409,19.16,19.3,18.84,18.88,113900
Alta Mesa Resources Inc.,AMR,20180409,7.03,7.21,6.97,7.01,691200
American River Bkshs,AMRB,20180409,15.415,15.523,15.41,15.513,900
Ameri Holdings Inc,AMRH,20180409,1.47,1.56,1.45,1.46,57300
A-Mark Precious Meta,AMRK,20180409,12.09,12.09,12,12,5100
Amarin Corp Ads,AMRN,20180409,3.04,3.07,2.89,2.91,1519900
Amyris Inc,AMRS,20180409,6.86,6.89,6.66,6.81,354000
Alta Mesa Resources Inc. Wt.,AMRWW,20180409,1.5,1.5,1.4,1.45,10400
Amer Superconductor,AMSC,20180409,5.93,5.97,5.77,5.93,235800
Amerisafe Inc,AMSF,20180409,53.1,53.1,52,52,137200
Amer Software Inc,AMSWA,20180409,13.25,13.31,13.08,13.09,67200
TD Ameritrade HD,AMTD,20180409,58.69,59.64,57.92,58.14,1878900
Aemetis Inc,AMTX,20180409,1.47,1.54,1.36,1.36,172200
Amer Woodmark Cp,AMWD,20180409,99.25,99.25,94,94.7,269100
Amazon.Com Inc,AMZN,20180409,1425.03,1438.48,1402.57,1406.08,4208200
Anaptysbio Inc,ANAB,20180409,86.22,92.08,85.86,88.1,405400
Amer Natl Insurance,ANAT,20180409,117.25,119.09,116.15,117.9,67800
Access National Corp,ANCX,20180409,28.64,28.91,28.29,28.4,50700
Andersons Inc,ANDE,20180409,32.75,33.05,32.4,32.65,74100
Homeservices Inc,ANGI,20180409,13.41,13.6,13.11,13.16,402300
Angiodynamics Inc,ANGO,20180409,18.87,19.07,18.66,18.97,382100
Anika Therapeutics,ANIK,20180409,45.81,47.31,45.81,46.38,61000
ANI Pharma Inc,ANIP,20180409,57.53,58.76,57.04,57.65,72600
Ansys Inc,ANSS,20180409,154.95,157.5,154.08,154.35,406200
Anthera Pharmaceutic,ANTH,20180409,0.325,0.353,0.315,0.331,1466600
Sphere 3D Corp,ANY,20180409,0.94,0.94,0.89,0.89,509800
American Outdoor Brands Corp,AOBC,20180409,10.77,10.77,10.44,10.49,754600
Alpha and Omega Semi,AOSL,20180409,15.4,15.65,15.3,15.3,89400
Applied Dna Scns,APDN,20180409,1.58,1.58,1.44,1.44,51100
Applied Dna Sci Wrnt,APDNW,20180409,0.31,0.32,0.3,0.3,1300
American Pub. Edu.,APEI,20180409,42.55,44.435,41.955,42.05,141500
Apollo Endosurgery Inc,APEN,20180409,5.96,5.975,5.71,5.75,10500
Archrock Partners LP,APLP,20180409,12.7,12.71,12.49,12.59,59200
Apellis Pharmaceuticals Inc,APLS,20180409,23.45,24,22.63,22.82,83100
Apogee Entrpr Inc,APOG,20180409,42.33,43.65,41.78,41.81,161600
Cellect Biotechnology Ltd,APOP,20180409,7.4,7.85,6.51,7.04,168400
Appfolio Cl A,APPF,20180409,41.2,42.05,40.95,41.75,118000
Appian Corporation Class A,APPN,20180409,27.55,28.38,27.1,27.51,335800
Digital Turbine,APPS,20180409,2.11,2.16,1.92,1.92,728100
Apricus Biosc Inc,APRI,20180409,0.39,0.41,0.37,0.38,1270800
Apptio Inc,APTI,20180409,28.29,28.93,28.11,28.51,293200
Aptose Bioscns,APTO,20180409,3.06,3.37,3,3.31,229000
Aptevo Therapeutics Inc,APVO,20180409,3.19,3.36,3.11,3.3,66600
Asia Pacific Wire & Cable,APWC,20180409,2.55,2.55,2.55,2.55,300
Aquabounty Technologies Inc,AQB,20180409,3.19,3.19,2.96,2.99,53100
Aqua Metals Inc,AQMS,20180409,2.57,2.57,2.3,2.37,349000
Aquinox Pharmaceutic,AQXP,20180409,13.47,13.77,12.96,13.56,86200
Accuray Incorporated,ARAY,20180409,4.75,4.9,4.7,4.8,264100
Arcbest Corp,ARCB,20180409,32.3,32.7,31.85,31.85,186600
Ares Capital Corp,ARCC,20180409,16.03,16.03,15.91,15.92,1290700
Applnc Rcycl Ct Amer,ARCI,20180409,0.8,0.88,0.8,0.84,90300
Arcturus Therapeutics Ltd,ARCT,20180409,5.2,5.46,5.05,5.41,26400
Arc Group Worldwide,ARCW,20180409,2.05,2.075,2.05,2.05,30300
Aradigm Corp,ARDM,20180409,1.26,1.27,1.2,1.23,28800
Ardelyx Inc,ARDX,20180409,4.95,5.2,4.925,5,206600
Approach Res. Inc,AREX,20180409,2.52,2.54,2.44,2.45,324600
Argos Therapeutics,ARGS,20180409,0.79,0.81,0.73,0.76,128400
Argenx Se Ads,ARGX,20180409,76.92,83.72,76.705,79.88,151700
American Railcar Ind,ARII,20180409,36.43,36.44,35.4,35.71,75400
Ark Restaurants Cp,ARKR,20180409,24,24.49,23.99,23.99,900
Alliance Resource Pt,ARLP,20180409,16.9,16.95,16.5,16.6,420700
Aralez Pharm Inc,ARLZ,20180409,1.42,1.44,1.36,1.4,379900
Armo Biosciences Inc.,ARMO,20180409,36.21,36.39,34.35,34.45,232000
Arena Pharmaceutical,ARNA,20180409,34.2,36.25,34.2,35.49,1286700
Arrow Financial Corp,AROW,20180409,33.55,34.1,33.3,33.4,13200
Arqule Inc,ARQL,20180409,2.87,2.93,2.51,2.52,1512700
Arris Group Inc,ARRS,20180409,26.76,26.83,26.425,26.45,918800
Array Biopharma Inc,ARRY,20180409,15.05,15.6,14.3,14.39,3796400
Artesian Res Cp A,ARTNA,20180409,36.62,36.79,36.275,36.45,11200
Art S Way MFG Co I,ARTW,20180409,2.45,2.45,2.3,2.325,5000
Arotech Corp,ARTX,20180409,3.2,3.25,3.15,3.15,83200
Arrowhead Pharma,ARWR,20180409,6.43,6.61,6.37,6.38,1272000
Ascent Capital Group,ASCMA,20180409,3.79,3.79,3.45,3.54,99200
Flexshares Real Assets Allocation Index Fund,ASET,20180409,27.55,27.71,27.55,27.68,1300
Asta Funding Inc,ASFI,20180409,3.4,3.4,3.3,3.3,8700
Assembly Biosciences,ASMB,20180409,45.1,46.83,44.9,45.89,85500
Asml Hldg NY Reg,ASML,20180409,198.01,202.57,196.89,198.53,774000
Ascena Retail Grp,ASNA,20180409,2.21,2.25,2.16,2.18,815600
Ascendis Pharma Ads,ASND,20180409,58.6,61.32,58.31,59.76,50800
Arsanis Inc,ASNS,20180409,22.16,23.5,21.58,22.2,30200
Altisource Portfolio,ASPS,20180409,26.09,26.76,25.61,25.99,126900
Aspen Group Inc,ASPU,20180409,7.06,7.06,6.235,6.9,9500
Ameriserv Financial,ASRV,20180409,4,4.05,3.95,4,14800
Astrotech Corp,ASTC,20180409,2.54,2.58,2.36,2.57,38900
Astec Inds Inc,ASTE,20180409,54.37,55.08,53.68,53.79,78600
Asure Software,ASUR,20180409,14.25,14.745,14.05,14.07,230500
Asv Holdings Inc,ASV,20180409,7.13,7.48,6.45,6.81,27000
Amtech Systems Inc,ASYS,20180409,7.37,7.725,7.31,7.46,98400
Atlantic Acquisition Corp,ATAC,20180409,10.01,10.01,10.01,10.01,400
Atlantic Acquisition Corp Right,ATACR,20180409,0.6,0.6,0.57,0.59,14900
Ata Inc ADR,ATAI,20180409,5.34,5.34,5.3,5.3,9100
Amer First Mf Inv,ATAX,20180409,6.15,6.2,6.15,6.175,42500
Alphatec Holdings,ATEC,20180409,3.33,3.44,3.21,3.37,32400
Athenahealth Inc,ATHN,20180409,140.05,140.83,137.45,137.49,262500
Athersys Inc,ATHX,20180409,1.84,1.88,1.79,1.85,325500
Atlanticus Hldg Cp,ATLC,20180409,2.1,2.35,2,2.02,18800
Ames Natl Corp,ATLO,20180409,27.1,27.8,27.1,27.3,5900
Atn International,ATNI,20180409,60.94,62,60.83,61.32,46700
Athenex Inc,ATNX,20180409,17.43,17.91,17.3,17.71,127800
Atomera Inc,ATOM,20180409,6.54,6.54,5.86,6.01,88800
Atossa Genetics Inc,ATOS,20180409,0.415,0.466,0.415,0.43,1253300
Atara Biotherap,ATRA,20180409,35.7,37.3,35.35,36,355300
Atricure Inc,ATRC,20180409,20.04,20.04,19.58,19.65,144400
Atrion Corp,ATRI,20180409,614,615.5,594.5,594.5,16200
